Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2020-06-01,231.2504175786,243.6270585284,245.2636687554,229.7878560698
ETH,2020-06-02,250.0599160501,231.2100601725,250.7284854657,230.6284228458
ETH,2020-06-03,237.3090652858,250.0726041158,253.147878327,226.29373382
ETH,2020-06-04,244.5193627884,237.3095508894,245.0051614421,233.6978643143
ETH,2020-06-05,243.4132803896,244.5416669637,246.5683121705,236.4287199802
ETH,2020-06-06,240.7663785849,243.420504845,248.0077120602,239.3617532687
ETH,2020-06-07,242.3213962566,240.7523323749,244.67170298,238.0540542749
ETH,2020-06-08,243.825655085,242.3213939748,245.2421558585,235.0061350069
ETH,2020-06-09,247.0407955737,243.8256907979,247.2317980298,241.0991912782
ETH,2020-06-10,244.5428506736,247.0468660299,249.7179110174,239.427573638
ETH,2020-06-11,247.4454296066,244.5875966792,250.0458471899,242.4295597171
ETH,2020-06-12,230.5056339076,247.4446279621,250.0579672684,226.1818994218
ETH,2020-06-13,237.2197469187,230.5220549828,239.474035864,228.2728449325
ETH,2020-06-14,238.2201400896,237.2259908291,238.7501715182,234.635040874
ETH,2020-06-15,232.6132804986,238.2201400918,238.5668448215,229.9142633219
ETH,2020-06-16,231.2550027053,232.6115651761,233.4718071922,218.2724276744
ETH,2020-06-17,234.7509210246,231.2543429366,236.0721563915,228.898786026
ETH,2020-06-18,234.0310260214,234.754450543,237.1685502278,227.6893279499
ETH,2020-06-19,231.8059383408,234.0394744702,234.4131058609,227.7414772358
ETH,2020-06-20,228.8903067734,231.8061482086,231.9706212969,226.5965290489
ETH,2020-06-21,228.7451598817,228.8772879947,230.6571439769,225.8520172551
ETH,2020-06-22,227.6154756679,228.7389242343,231.2319378901,227.047957336
ETH,2020-06-23,243.2281939759,227.6089252779,246.7635912652,227.3859651164
ETH,2020-06-24,242.9270899437,243.2114216762,245.0346187976,241.06684677
ETH,2020-06-25,235.1756535949,242.927089944,249.1445582409,231.0995675089
ETH,2020-06-26,232.5691463771,235.1886592592,235.3297723825,227.4208050094
ETH,2020-06-27,229.9450697712,232.5696026564,233.3176591565,227.7160537178
ETH,2020-06-28,221.4079023706,229.9394928887,231.2253372644,216.2631715344
ETH,2020-06-29,224.1848295462,221.4086713152,227.804099542,218.1223887287
ETH,2020-06-30,228.3333420231,224.1895353556,229.8553495685,221.2218593266
ETH,2020-07-01,225.9467950844,228.3333292181,228.6460042421,222.9864633795
ETH,2020-07-02,230.7048874981,225.6863921064,232.743117606,224.3149086425
ETH,2020-07-03,226.7229790237,231.1948375875,232.1479266582,223.1761590164
ETH,2020-07-04,226.3593386336,226.6998415409,228.2929203932,225.6915410007
ETH,2020-07-05,228.8071990379,225.1198565553,230.5455781737,224.6385923645
ETH,2020-07-06,227.0958437535,229.309123778,229.9518913392,223.464013225
ETH,2020-07-07,238.9297010239,227.7624211284,240.9430667198,227.1229375302
ETH,2020-07-08,238.4339891225,241.6816950102,243.6876558661,234.9989090195
ETH,2020-07-09,248.281879338,239.5282277474,249.1250615449,238.0663647129
ETH,2020-07-10,241.7872199263,247.2208495129,247.739365168,238.068827205
ETH,2020-07-11,240.1467526502,242.080879565,242.2688319967,235.9863512158
ETH,2020-07-12,238.9943354723,241.3130855443,241.7917444563,237.9151047193
ETH,2020-07-13,240.22366586,239.4193572732,244.077026534,236.8386734901
ETH,2020-07-14,239.3273161658,243.0083433906,245.3246083409,237.5843573271
ETH,2020-07-15,240.8414253109,239.5313593297,242.145283665,237.0269581922
ETH,2020-07-16,238.4254490792,240.5938874718,241.4743466639,236.7810484981
ETH,2020-07-17,233.0853182123,238.4149784216,239.2174144608,230.2432230435
ETH,2020-07-18,232.8975949922,233.5424064252,234.5992820468,231.7124909118
ETH,2020-07-19,235.7401242173,232.7958737371,237.057444937,232.4669595519
ETH,2020-07-20,237.7425541334,236.0131451355,238.1493903712,233.5973430999
ETH,2020-07-21,236.0678442243,239.1809758274,239.8136688271,234.3968831918
ETH,2020-07-22,245.2152674702,236.1469913183,247.0502209127,235.7492582577
ETH,2020-07-23,264.0682844678,245.8905627471,269.0305095585,242.1903047688
ETH,2020-07-24,275.8085217294,264.2264986103,280.6860003188,262.2727265921
ETH,2020-07-25,282.0835888641,275.7213120686,287.6346626468,268.6070504573
ETH,2020-07-26,305.6981196217,279.712563016,307.6532120965,279.6943664679
ETH,2020-07-27,312.1649089443,305.7557998871,318.8569499655,300.5163329315
ETH,2020-07-28,329.6317211075,311.2393860098,333.5037645767,311.2257033378
ETH,2020-07-29,317.1500090147,322.2859019811,327.1706726034,306.229000824
ETH,2020-07-30,322.5821788488,317.3983328562,325.4884542828,312.9461628183
ETH,2020-07-31,336.2069898243,318.3178662892,342.2068666315,314.8993058941
ETH,2020-08-01,346.0277183338,335.2509921303,349.826223511,329.2374484843
ETH,2020-08-02,385.3971442278,346.8799144534,393.4227808108,343.7725390932
ETH,2020-08-03,376.7304077565,387.6319772246,415.7137670232,329.7443178353
ETH,2020-08-04,389.0088526187,372.3310989279,398.1827004586,367.387042744
ETH,2020-08-05,391.4719188271,386.3841649531,401.1792016614,381.6972367843
ETH,2020-08-06,398.7823155558,389.7739841582,407.3695248685,384.5096976436
ETH,2020-08-07,395.0946703368,401.1942824965,403.8119093162,392.8564488164
ETH,2020-08-08,382.7311751829,395.3629341207,398.7223770995,364.6081633244
ETH,2020-08-09,390.808826242,379.8457064085,393.4506925812,376.5714583997
ETH,2020-08-10,388.3353162731,397.2580927816,400.2300285176,384.4175907289
ETH,2020-08-11,395.3996937457,390.504577658,399.8476916933,386.07178865
ETH,2020-08-12,375.7376315945,395.9138296672,398.1078858485,367.4094423468
ETH,2020-08-13,385.6144268142,379.2203395385,389.6743609879,366.396122481
ETH,2020-08-14,426.5197717722,387.3415773534,431.5745452131,377.3046128062
ETH,2020-08-15,439.4651311644,424.881045254,444.6363674875,418.1696471136
ETH,2020-08-16,432.5808730567,438.9316946123,443.1990258271,428.5819232373
ETH,2020-08-17,432.9948222845,432.6224965686,437.2198304115,413.3227680751
ETH,2020-08-18,439.1354267206,433.820497493,446.4511175885,420.8027613118
ETH,2020-08-19,426.6580775702,431.3676954553,434.2467909,415.1707999102
ETH,2020-08-20,406.7773731283,422.400274926,427.0039349853,394.2827799572
ETH,2020-08-21,414.892313138,407.9056876456,419.5986160193,403.0389145344
ETH,2020-08-22,392.9193709266,416.327704322,419.0840095168,386.304653236
ETH,2020-08-23,393.7887017486,388.2547095119,395.3278973507,380.3753115549
ETH,2020-08-24,392.2001782169,395.7003591,397.2778679559,384.0666779103
ETH,2020-08-25,406.0046385673,391.0885828063,408.8267150008,388.0029419871
ETH,2020-08-26,383.7475333924,408.0597611801,409.2408014043,370.4092629318
ETH,2020-08-27,386.442205636,383.4401407168,393.423672538,378.0925844811
ETH,2020-08-28,381.5294806967,385.9954626054,397.3093057151,372.434146578
ETH,2020-08-29,391.9147663738,383.6367344765,398.0637661476,380.2925820805
ETH,2020-08-30,402.90311604,395.6468275833,406.0306685852,392.6472847163
ETH,2020-08-31,423.0770923093,399.0898440034,428.0834931275,398.8473637463
ETH,2020-09-01,435.2801714861,429.0059962,439.3442035102,419.2185815085
ETH,2020-09-02,480.5552222401,434.1475041025,488.8938492235,429.8748398733
ETH,2020-09-03,441.8792972944,475.41436486,481.3955001103,421.8353335877
ETH,2020-09-04,399.5571540928,440.3346759471,451.0626435787,392.6973368629
ETH,2020-09-05,391.8715284748,382.5405618575,401.1209305854,372.7130798487
ETH,2020-09-06,329.0848011726,386.0594302961,394.8616499131,312.1050554298
ETH,2020-09-07,349.4605531884,335.4103155017,359.4572170257,317.236665121
ETH,2020-09-08,354.3037632168,353.0927521017,357.5864908827,325.1598125177
ETH,2020-09-09,334.025416843,353.7657005608,356.7595736251,326.0584828202
ETH,2020-09-10,354.513329323,337.6975033565,359.3516322396,331.0640466839
ETH,2020-09-11,367.1263141396,351.208679324,377.2493001336,350.5790158873
ETH,2020-09-12,374.2875958676,368.2165020788,375.4540415519,356.1667704541
ETH,2020-09-13,383.9274938089,374.1000639654,387.1178059664,365.5623093333
ETH,2020-09-14,364.5362187519,388.0735382863,390.2242988663,354.0953334658
