datetime_eth,closingPrice,ARIMA,Error,datetime_eth,Error_pred,ARIMA_LSTM
2021-01-01,0.0741118,0.07476051037735837,-0.0006487103773583636,2021-01-01,0.015164012,0.08992452246673005
2021-01-02,0.0730035,0.07491482075471674,-0.0019113207547167416,2021-01-02,0.02036548,0.0952803010882834
2021-01-03,0.07714760000000001,0.07506913113207511,0.0020784688679248986,2021-01-03,0.027592164,0.10266129466504745
2021-01-04,0.0976893,0.07522344150943348,0.022465858490566523,2021-01-04,0.035670362,0.11089380392236302
2021-01-05,0.101786,0.07537775188679186,0.026408248113208146,2021-01-05,0.041173503,0.11655125468964067
2021-01-06,0.11231600000000001,0.07553206226415023,0.03678393773584979,2021-01-06,0.04683706,0.12236912390775069
2021-01-07,0.11935699999999999,0.0756863726415086,0.04367062735849139,2021-01-07,0.048864003,0.12455037591237308
2021-01-08,0.125105,0.07584068301886697,0.049264316981133024,2021-01-08,0.050856933,0.12669761601657054
2021-01-09,0.120858,0.07599499339622534,0.04486300660377465,2021-01-09,0.05186197,0.12785696501297034
2021-01-10,0.128748,0.07614930377358371,0.05259869622641629,2021-01-10,0.047788415,0.12393771887773448
2021-01-11,0.1282,0.07630361415094208,0.051896385849057924,2021-01-11,0.041319646,0.11762326009219956
2021-01-12,0.10558900000000002,0.07645792452830046,0.02913107547169956,2021-01-12,0.03762571,0.11408363593953817
2021-01-13,0.10642,0.07661223490565883,0.029807765094341174,2021-01-13,0.04067716,0.11728939493030177
2021-01-14,0.111643,0.0767665452830172,0.03487645471698281,2021-01-14,0.043296684,0.1200632288627005
2021-01-15,0.11773399999999999,0.07692085566037557,0.04081314433962442,2021-01-15,0.045758393,0.12267924832218549
2021-01-16,0.11714000000000001,0.07707516603773394,0.040064833962266067,2021-01-16,0.04774665,0.12482181691234866
2021-01-17,0.122709,0.07722947641509231,0.045479523584907686,2021-01-17,0.04925176,0.1264812377025431
2021-01-18,0.1253,0.07738378679245068,0.04791621320754931,2021-01-18,0.05384069,0.1312244761535461
2021-01-19,0.123865,0.07753809716980906,0.04632690283019095,2021-01-19,0.05671244,0.1342505383161828
2021-01-20,0.141183,0.07769240754716743,0.06349059245283258,2021-01-20,0.052946698,0.13063910546772828
2021-01-21,0.13326400000000002,0.0778467179245258,0.05541728207547422,2021-01-21,0.047820233,0.12566695073311573
2021-01-22,0.111748,0.07800102830188417,0.03374697169811583,2021-01-22,0.046064563,0.12406559139745378
2021-01-23,0.12507200000000002,0.07815533867924254,0.046916661320757475,2021-01-23,0.051898554,0.13005389264671843
2021-01-24,0.123509,0.07830964905660091,0.04519935094339908,2021-01-24,0.054298036,0.13260768485705793
2021-01-25,0.13689,0.07846395943395928,0.05842604056604073,2021-01-25,0.05681535,0.13527930799953775
2021-01-26,0.132486,0.07861826981131766,0.053867730188682336,2021-01-26,0.05365098,0.1322692487639639
2021-01-27,0.135074,0.07877258018867603,0.05630141981132397,2021-01-27,0.05393125,0.13270383135692707
2021-01-28,0.124766,0.0789268905660344,0.0458391094339656,2021-01-28,0.055761963,0.134688853695078
2021-01-29,0.135496,0.07908120094339277,0.056414799056607234,2021-01-29,0.059556045,0.13863724558154966
2021-01-30,0.140768,0.07923551132075114,0.06153248867924886,2021-01-30,0.058304183,0.13753969450585168
2021-01-31,0.13855,0.07938982169810951,0.05916017830189049,2021-01-31,0.056392334,0.13578215609971703
2021-02-01,0.131524,0.07954413207546789,0.05197986792453212,2021-02-01,0.061222326,0.14076645808593352
2021-02-02,0.135705,0.07969844245282626,0.056006557547173735,2021-02-02,0.072828785,0.15252722703782534
2021-02-03,0.154065,0.07985275283018463,0.07421224716981538,2021-02-03,0.081171274,0.16102402701536528
2021-02-04,0.164469,0.080007063207543,0.084461936792457,2021-02-04,0.08614459,0.1661516520952345
2021-02-05,0.162847,0.08016137358490137,0.08268562641509862,2021-02-05,0.088649906,0.1688112798029533
2021-02-06,0.170483,0.08031568396225974,0.09016731603774025,2021-02-06,0.08608633,0.1664020167602639
2021-02-07,0.170873,0.08046999433961811,0.09040300566038188,2021-02-07,0.08612217,0.16659216443029345
2021-02-08,0.158468,0.08062430471697649,0.07784369528302351,2021-02-08,0.089354284,0.16997858882466158
2021-02-09,0.171488,0.08077861509433486,0.09070938490566514,2021-02-09,0.09412905,0.17490766338220337
2021-02-10,0.176227,0.08093292547169323,0.09529407452830677,2021-02-10,0.09601914,0.17695206684771175
2021-02-11,0.17472000000000001,0.0810872358490516,0.09363276415094841,2021-02-11,0.099247,0.180334236960559
2021-02-12,0.17815799999999998,0.08124154622640997,0.09691645377359001,2021-02-12,0.10126112,0.1825026627906838
2021-02-13,0.184582,0.08139585660376834,0.10318614339623165,2021-02-13,0.10219496,0.18359081403889943
2021-02-14,0.181127,0.08155016698112671,0.0995768330188733,2021-02-14,0.10014158,0.18169174440374558
2021-02-15,0.182809,0.08170447735848509,0.10110452264151491,2021-02-15,0.097939745,0.17964422195019802
2021-02-16,0.17871199999999998,0.08185878773584346,0.09685321226415652,2021-02-16,0.0984751,0.18033388634576777
2021-02-17,0.176375,0.08201309811320183,0.09436190188679817,2021-02-17,0.10438903,0.18640212487425684
2021-02-18,0.183599,0.0821674084905602,0.10143159150943981,2021-02-18,0.11115183,0.1933192378524758
2021-02-19,0.193672,0.08232171886791857,0.11135028113208144,2021-02-19,0.110261455,0.19258317404617936
2021-02-20,0.195874,0.08247602924527694,0.11339797075472305,2021-02-20,0.10875114,0.19122716978015472
2021-02-21,0.185526,0.08263033962263532,0.10289566037736468,2021-02-21,0.1034277,0.18605804032101103
