datetime_btc,closingPrice,ARIMA,Error,datetime_btc,Final_LSTM
2021-06-27,3.17393,6.601422510230686,-3.4274925102306857,2021-06-27,3.2688316918255342
2021-06-28,3.4721,6.6153963941192835,-3.1432963941192833,2021-06-28,3.282805575714132
2021-06-29,3.6156,6.629326707603509,-3.013726707603509,2021-06-29,3.2967358891983576
2021-06-30,,6.643213819590045,,2021-06-30,3.3106230011848936
